id,titulo,disciplina,ano,status,id_anterior,titulo_anterior,disciplina_anterior,ano_anterior,status_anterior
51,Ordens Crescente e decrescente,Matemática,2,1,10089,Antecessor e sucessor,Matemática,2,1
51,Ordens Crescente e decrescente,Matemática,2,1,10027,Sistema de numeração decimal,Matemática,2,1
51,Ordens Crescente e decrescente,Matemática,2,1,17,Números naturais - 0 a 50,Matemática,1,1
52,Números por extenso e comparações,Matemática,3,1,20246,O milhar,Matemática,3,1
53,Adição,Matemática,2,1,20089,Composição e decomposição,Matemática,2,1
53,Adição,Matemática,2,1,10027,Sistema de numeração decimal,Matemática,2,1
53,Adição,Matemática,2,1,20138,Material Dourado: Adição e Subtração,Matemática,2,1
54,Letras     F - V -  T - D - P -  B,L. Portuguesa,2,1,20629,Você realmente conhece o alfabeto?,L. Portuguesa,1,1
54,Letras     F - V -  T - D - P -  B,L. Portuguesa,2,1,10037,As consoantes,L. Portuguesa,1,1
54,Letras     F - V -  T - D - P -  B,L. Portuguesa,2,1,20759,"Alfabeto - sons, letras e ordem",L. Portuguesa,1,1
55,Acentuação: agudo e circunflexo,L. Portuguesa,3,1,31,Sílabas tônica e átona,L. Portuguesa,3,1
58,Artigos : definidos e indefinidos,L. Portuguesa,4,0,20219,Artigos,L. Portuguesa,4,1
59,Graus do adjetivo,L. Portuguesa,3,1,20177,Descobrindo os aumentativos e diminutivos,L. Portuguesa,2,1
60,Quantas sílabas tem uma palavra?,L. Portuguesa,3,1,20231,Separação silábica,L. Portuguesa,3,1
60,Quantas sílabas tem uma palavra?,L. Portuguesa,3,1,10025,Estrutura das sílabas,L. Portuguesa,2,1
61,Dígrafos,L. Portuguesa,3,1,44,"Encontro Consonantal - gn, pc, pç, pn, ps, pt, tm",L. Portuguesa,3,1
67,Decomposição numérica - até 100,Matemática,2,1,10027,Sistema de numeração decimal,Matemática,2,1
67,Decomposição numérica - até 100,Matemática,2,1,10042,As centenas,Matemática,2,1
67,Decomposição numérica - até 100,Matemática,2,1,20089,Composição e decomposição,Matemática,2,1
